,Mobile_name,Color,Price,Rating,RAM,ROM,Camera,Battery,Processor,
0,REDMI 9i Sport ,Metallic Blue,"Rs.7,199",4.3,4 GB RAM,64 GB ROM,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor,https://www.flipkart.com/redmi-9i-sport-metallic-blue-64-gb/p/itmeb95d0b4616cc?pid=MOBG6WQWQZZMGQCU&lid=LSTMOBG6WQWQZZMGQCUXA6EPW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG6WQWQZZMGQCU.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
1,REDMI 9i Sport ,Coral Green,"Rs.9,999",4.3,4 GB RAM,64 GB ROM,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor,https://www.flipkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGEZXWFI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG6WQWJRFZ5WDG.SEARCH&ppt=sp&ppn=sp&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
2,MOTOROLA G32 ,Mineral Gray,"Rs.9,999",4.2,4 GB RAM,64 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,https://www.flipkart.com/motorola-g32-mineral-gray-64-gb/p/itmdcfa4c4022714?pid=MOBGEA3CZ8Z7HWCY&lid=LSTMOBGEA3CZ8Z7HWCYPHBSGA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBGEA3CZ8Z7HWCY.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
3,APPLE iPhone 12 mini ,Black,"Rs.37,999",4.5,No RAM,64 GB ROM,12MP + 12MP | 12MP Front Camera,No Battery Info.,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F&lid=LSTMOBFWBYZXSEGBS6FTONJ6W&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBFWBYZXSEGBS6F.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
4,POCO C31 ,Royal Blue,"Rs.9,499",4.3,4 GB RAM,64 GB ROM,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek G35 Processor,https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG73E7GKQK4KZP.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
5,POCO C31 ,Shadow Gray,"Rs.9,499",4.3,4 GB RAM,64 GB ROM,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG73E7UBFXXMCH.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
6,REDMI 9i Sport ,Carbon Black,"Rs.7,199",4.3,4 GB RAM,64 GB ROM,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor,https://www.flipkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm4559197007bd1?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6MSMKC8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG6WQWRGRRDBH6.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
7,MOTOROLA e40 ,Carbon Gray,"Rs.7,999",4.1,4 GB RAM,64 GB ROM,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,UNISOC T700 Processor,https://www.flipkart.com/motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG2EMWUMUFGSZE.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
8,MOTOROLA g52 ,Charcoal Grey,"Rs.12,999",4.2,6 GB RAM,128 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,https://www.flipkart.com/motorola-g52-charcoal-grey-128-gb/p/itmea9ebe003e26c?pid=MOBGAKFYFCZJ8JVY&lid=LSTMOBGAKFYFCZJ8JVY99JHKD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBGAKFYFCZJ8JVY.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
9,MOTOROLA G32 ,Satin Silver,"Rs.9,999",4.2,4 GB RAM,64 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,https://www.flipkart.com/motorola-g32-satin-silver-64-gb/p/itm264e8f39d3934?pid=MOBGEA3CGNUPBCD2&lid=LSTMOBGEA3CGNUPBCD2ASUJ7J&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBGEA3CGNUPBCD2.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
